fecha,tipo,empresa_id,empresa_nombre,campo,valor_anterior,valor_nuevo
2026-06-22 14:51:56,alta,375,BOCANA VALORES S.A.,,,
2026-06-22 14:51:56,alta,376,LAROCCA SALTA NEUMATICOS S.A.,,,
2026-06-22 14:51:56,modificacion,144,RODAMAS 35,telefono,(0387) 155 004 014 / 155 411 673,(0387) 155 438 555 / 155 411 673
2026-06-22 14:51:56,nuevo_rubro,144,RODAMAS 35,membresia,,CAPEMISA / Insumos
2026-06-22 14:51:56,alta,377,PERFHID,,,
2026-06-29 13:16:59,modificacion,271,CUMBRES MINERAS S.A.S.,email,virnafernandezg27@gmail.com,esteban.hanna@cumbresmineras.com.ar
2026-07-06 12:56:41,alta,378,MARCHETTI ABOGADOS,,,
2026-07-06 12:56:41,alta,379,SUMAQ SOLUTIONS S.A.S.,,,
2026-07-06 12:56:41,alta,380,LAS CORTES S.R.L.,,,
2026-07-06 12:56:41,modificacion,118,ENERGIA INFINITA S.A.S.,email,bersanchez@energy.net,bersanchez@ergy.net
2026-07-06 12:56:41,modificacion,140,NOA GENERACION S.R.L,direccion,Mza 410 C Lote 6 B° Las Quintas San Lorenzo Chico (4401) Salta,"RN. 51 Av. John F. Kennedy Km 2,5. Salta"
2026-07-06 12:56:41,modificacion,140,NOA GENERACION S.R.L,telefono,(0387) 155 729 701 / 718,(0387) 305 5444
2026-07-06 12:56:41,modificacion,140,NOA GENERACION S.R.L,email,juang@noageneracion.com / avilam@noageneracion.com,info@noageneracion.com
2026-07-06 12:56:41,alta,381,VISION SALUD S.R.L.,,,
2026-07-06 12:56:41,alta,382,ALBIERO INGENIERÍA Y SERVICIOS S.A.S.,,,
2026-07-06 12:56:41,baja,247,ALBIERO SISTEMAS DE SEGURIDAD,,ALBIERO SISTEMAS DE SEGURIDAD,
2026-07-06 12:56:41,baja,157,GRUPO 7D INGENIERÍA VIAL & TOPOGRAFÍA,,GRUPO 7D INGENIERÍA VIAL & TOPOGRAFÍA,
2026-07-06 12:56:41,baja,278,HOTEL ALEJANDRO I,,HOTEL ALEJANDRO I,
2026-07-13 12:10:51,alta,383,MERCOAGUAS,,,
2026-07-13 12:10:51,alta,384,INGENIERÍA ELÉCTRICA SALTA S.A.S.,,,
2026-07-13 12:10:51,baja,194,INGENIERÍA ELÉCTRICA S.A.S.,,INGENIERÍA ELÉCTRICA S.A.S.,
2026-07-20 11:55:04,modificacion,383,MERCOAGUAS,actividad,Consultora hidrogeológica,Consultora hidrogeológica y ambiental
2026-07-20 11:55:04,alta,385,MECMA S.R.L.,,,
2026-07-20 11:55:04,modificacion,255,9AMAS,instagram,https://www.instagram.com/9amas,https://instagram.com/9amas
2026-07-27 12:30:50,nuevo_rubro,134,GRUPO HYS S.R.L.,membresia,,CAPEMISA / Servicios
2026-07-27 12:30:50,modificacion,165,POQ SERVICIOS INDUSTRIALES,email,wayar@poq.com.ar,poqservicios@gmail.com
2026-07-27 12:30:50,alta,386,ECO NORTE S.R.L.,,,
2026-07-27 12:30:50,alta,387,EXTINGNORT S.R.L.,,,
2026-07-27 12:30:50,baja,31,CACTUS S.R.L.,,CACTUS S.R.L.,
2026-08-03 12:31:55,modificacion,207,CENTRO DISTRIBUIDOR S.A.,direccion,Canillitas S/N B° Torino (4400) Salta,"Canillitas S/N B° Torino, RN 9 Circunvalación, Salta"
2026-08-03 12:31:55,modificacion,207,CENTRO DISTRIBUIDOR S.A.,contacto_nombre,Virginia Ramos,Micaela Ohse
2026-08-03 12:31:55,modificacion,214,LOGISTICA DEL ALTO S.R.L.,direccion,"Dean Funes 771, Salta","Canillitas S/N B° Torino, RN 9 Circunvalación, Salta"
2026-08-03 12:31:55,modificacion,214,LOGISTICA DEL ALTO S.R.L.,contacto_nombre,Virginia Ramos,Micaela Ohse
2026-08-03 12:31:55,alta,388,GCM CONSULTORES,,,
2026-08-03 12:31:55,modificacion,277,GEOLIFT S.A.S.,email,Jorge.mosconi@geoliftargentina.com,administracion@geoliftargentina.com
2026-08-03 12:31:55,baja,71,CLAUDIO DEVITA CONSULTORES EN ABASTECIMIENTOS,,CLAUDIO DEVITA CONSULTORES EN ABASTECIMIENTOS,
